indType,Property_Category,namCondominium,District,Street_name,property_subcategory,numNumber,Built_up_area,Area_total,Bedroom,Bathroom,totalGarages,totalRooms,valSales,latitude,longitude,totalAccess,flgHighlight,Property tax,Condominium,prop_char_95
S,Casas,Moradas São Carlos II,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1111,52,100,2,1,1,2,209000,-21.98484,-47.93834,0,0,30,130,
S,Casas,,Vila Carmem,RUA RAFAEL ABREU SAMPAIO,Padrão,95,118.98,187.5,2,1,2,2,340000,-22.02589,-47.90903,3,0,,,
S,Terreno,,Recreio dos Bandeirantes,RUA TRABALHO COM FRATERNIDADE,Lote,0,,574.07,,,,,260000,-22.02245,-47.91236,2,0,,,
S,Casas,,Jardim Araucária,Rua Jaime Cordeiro,Padrão,235,98,195,2,1,3,2,285000,-21.97825,-47.94901,10,0,,,
S,Apartamentos,Edifício London Park,Recreio São Judas Tadeu,Avenida Gregório Aversa,Padrão,127,,49,2,1,1,2,265000,-22.03285,-47.87002,8,1,,0,49
S,Casas,,Vila Monteiro (Gleba I),Rua São Joaquim,Padrão,2255,123.64,161,3,2,2,4,380000,-22.00627,-47.88915,3,0,,,
S,Terreno,,Jardim das Torres Prolongamento,Rua Doutor Ivan Pinto de Campos,Padrão,,,257,,,,,124000,,,4,1,,,
S,Apartamentos,Condomínio Green View,Parque Faber Castell,Passeio das Palmeiras,Padrão,520,,59,2,2,1,3,380000,-22.01629,-47.91655,8,1,,320,59
S,Casas,Condomínio Faixa Azul,Residencial Samambaia,Av. AVENIDA PEDRO MUSZKAT,Condomínio,911,152,250, ,2,2,4,852000,-21.9637,-47.88915,36,1,,200,
S,Terreno,,Vila São José,Rua Hipólito José da Costa,Lote,180,0,350,,,,,192000,-22.00223,-47.87425,9,1,0,,
S,Apartamentos,Edifício Jardim das Torres ,Jardim das Torres,RUA DOUTOR ANTÔNIO STELLA MORUZZI,Padrão,300,,43,2,1,1,2,130000,-22.0335399,-47.911186,4,1,0,210,43
S,Casas,Condomínio Residencial Quebec,Condomínio Residencial Quebec,Avenida Professora Maria de Cresci Leopoldino,Condomínio,755,174,308,3,3,4,6,1200000,,,15,1,0,0,
S,Casas,,Parque Santa Mônica,Rua São Sebastião,Sobrado,3393,359.12,429,4,2,3,5,1100000,-22.01335,-47.90119,9,1,0,,
SL,Comercial,,Centro,RUA GENERAL OSÓRIO,Salão,1330,,208,,2,3,,1600000,-22.02157,-47.88656,36,1,280,,208
S,Apartamentos,Parque dos Manacás,Recreio São Judas Tadeu,Avenida Gregório Aversa,Padrão,371,,44,2,1,1,2,192000,,,15,1,40,232,44
S,Apartamentos,Edifício Turim,Vila Monteiro (Gleba I),Rua São Joaquim,Padrão,1885,,57.27,2,1,1,2,398300,-22.0097249,-47.8890844,7,1,0,209,57.27
S,Apartamentos,Edifício Turim,Vila Monteiro (Gleba I),Rua São Joaquim,Padrão,1885,,57.27,2,1,1,2,398300,-22.0097249,-47.8890844,7,1,0,209,57.27
S,Apartamentos,Edifício Turim,Vila Monteiro (Gleba I),Rua São Joaquim,Padrão,1885,,57.27,2,1,1,2,398300,-22.0097249,-47.8890844,4,1,0,209,57.27
SL,Casas,,Parque Industrial,Rua Rodolfo Luporini,Comercial,225,323,300,4,5,4,8,1064001,-21.9901833,-47.9010975,23,1,290,,
S,Casas,,Cidade Jardim,Rua das Orquídeas,Padrão,793,145.92,180,2,1,2,2,320000,-21.99724,-47.893,5,0,0,,
S,Casas,,Núcleo Residencial Silvio Vilari,Rua Vivaldo Lanzoni,Padrão,40,237,250,4,2,2,6,585000,-22.02681,-47.8927,4,0,,,
S,Casas,Condomínio Village Damha IV,VILLAGE DAMHA IV,Avenida Brasilino Damha,Padrão,750,180,299,3,4,2,6,1150000,-21.97528,-47.89265,10,0,,0,
S,Terreno,,Vila São José,Rua Hipólito José da Costa,Lote,0,,125,,,,,150000,-22.00218,-47.87497,3,0,,,
S,Apartamentos,Edifício Mont D'oro,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Padrão,200,,42,2,1,1,2,180000,,,23,1,,233,42
S,Casas,,Jardim Tangará,Rua Ilton Resitano,Padrão,590,111,125,2,2,2,3,290000,-22.01046,-47.85811,23,1,0,,
S,Casas,,Planalto Paraíso,Rua São João Bosco,Padrão,772,120,150,2,2,2,2,310000,,,39,0,,,
S,Terreno,Condomínio Parque Faber IV,Parque Faber Castell,Passeio das Magnólias,Condomínio,1060,,313.5,,,,,370000,,,13,1,,0,
S,Apartamentos,Edifício sophia Jorge ,Jardim Lutfalla,Rua Cézar Ricomi,Padrão,230,,36.35,1,1,1,1,275000,-22.0052465,-47.8931405,14,1,0,276,36.35
S,Casas,,Jardim de Cresci,RUA ROSA CASSIM,Padrão,290,196,307.62,3,3,2,4,650000,-22.02864,-47.86177,23,1,,,
S,Casas,Moradas São Carlos III,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,811,51.46,101.2,3,1,2,3,150000,-21.98484,-47.93834,45,1,,0,
S,Apartamentos,Parque Monte Europa,Recreio São Judas Tadeu,Avenida Gregório Aversa,Padrão,500,,46,2,1,1,2,160000,-22.0334045,-47.865737,15,1,0,0,46
S,Casas,Condomínio Village Saint Germain,Jardim Cardinalli,Rua Irmã Maria São Félix,Condomínio,23,104,130,3,2,,4,560000,-22.0240988,-47.8715677,23,1,0,381,
S,Casas,,Jardim Embaré,Rua Fortunato Dovigo,Padrão,1865,100,250,3,2,2,4,585000,-21.96284,-47.94202,56,1,0,,
S,Apartamentos,Parque dos Manacás,Recreio São Judas Tadeu,Avenida Gregório Aversa,Padrão,371,,44,2,1,1,2,230000,-22.03312,-47.86755,346,1,,0,44
S,Casas,Residencial Eldorado,Residencial Eldorado,Rua Miguel Petroni,Condomínio,4900,178.65,312,3,3,2,4,936000,-21.98957,-47.92169,23,1,164.8,580,
S,Casas,,Jardim Cruzeiro do Sul,Rua Allan Kardec,Padrão,295,64,191.39,2,1,2,2,373000,-22.03803,-47.89085,12,1,39,,
S,Casas,,PRESIDENTE COLLOR,RUA LUIZ MASCARIM,Padrão,336,127.71,149.94,3,2,2,3,215000,-22.06332,-47.89486,9,0,,,
S,Casas,,Jardim Beatriz,Rua Antônio Martines Carrera,Padrão,1124,177.7,250,4,4,2,5,580000,-22.03569,-47.90795,18,1,,,
S,Apartamentos,Edifício Portal do Sol,Recreio São Judas Tadeu,AV. GETÚLIO VARGAS,Padrão,2475,,50,2,1,1,2,266000,-22.0350361,-47.8680662,25,1,0,0,50
S,Apartamentos,Jose de Alencar ,Vila Costa do Sol,Rua José de Alencar,Kitnet,37,,35,1,1,,1,490000,-22.00286,-47.89073,14,1,0,0,35
S,Casas,,SANTA FELICIA,Rua Marcus Vinícius de Mello Moraes,Comercial,552,228,150,2,3,1,3,480000,,,13,1,0,,
S,Terreno,Residencial Samambaia,Residencial Samambaia,RUA DOUTOR JOSÉ ELIZIO DE OLIVEIRA LEITE,Condomínio,0,,295.13,,,,,230000,-21.95614,-47.8841,22,1,,0,
S,Casas,,Parque Belvedere,Rua Maria Broggio Asenha,Área de Lazer,2,128.46,518.5,1,2,5,2,426000,-21.99802,-47.87183,2,0,,,
S,Apartamentos,Ed. Unicco,Jardim Macarengo,Rua Adolfo Catani,Padrão,651,,40,1,1,1,1,250000,-22.0070149,-47.8915395,21,1,0,240,32
S,Casas,Moradas São Carlos I,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1455,100,,2,2,1,2,200000,-21.98484,-47.93834,16,1,0,125,
S,Apartamentos,Edifício Antonio Stella Moruzzi ,Cidade Jardim,AV. DAS GARDÊNIAS,Padrão,241,,81.83,2,1,1,2,240000,-21.9992483,-47.893749,30,0,,0,
S,Casas,,Conjunto Habitacional Dom Constantino Amstalden,Rua Hend Cury,Padrão,180,100,138,2,2,1,3,260000,-21.99324246,-47.8660476,31,0,,,
S,Casas,,Jardim Embaré,RUA LUIS PICON,Padrão,105,92.23,250,2,1,2,2,415000,-21.96909,-47.93323,20,0,0,,
S,Terreno,Condomínio Parque dos Pinheiros ,Parque dos Timburis,Rua Cremilde Zabotto Poianas,Condomínio,0,0,144,,,,,155000,-22.01855,-47.85985,29,0,,0,
S,Apartamentos,Parque Monte Everest ,Parque Fehr,Servidão de Passagem João Deriggi,Padrão,181,,50,2,1,1,2,192000,,,27,0,,187.44,50
S,Casas,Condomínio Parque Residencial Damha II,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1400,470,1000,5,5,6,10,2900000,-21.96392,-47.89699,49,0,,1915,
S,Casas,Moradas São Carlos II,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1111,48,100,3,1,2,3,230000,-21.98484,-47.93834,41,0,0,130,
S,Apartamentos,Edifício Wady Cury,Cidade Jardim,Alameda dos Crisântemos,Padrão,90,,50,2,1,1,2,190000,-22.00069,-47.89922,23,0,,0,50
S,Casas,,Jardim Paraíso,RUA MAESTRO JOÃO SEPPE,Padrão,773,155,300,3,2,2,3,1000000,-22.01002,-47.90194,22,0,,,
S,Apartamentos,Edifício Torre di Itália,Centro,Rua Padre Teixeira,Padrão,2670,,74,3,2,1,4,550000,-22.01418,-47.88435,54,0,,550,74
S,Terreno,,Jardim Medeiros,Rua Mário Pinotti,Padrão,0,,285,,,,,120000,-22.037,-47.91736,16,0,0,,
