indType,namCategory,namCity,idtCity,namDistrict,namState,namStreet,namSubCategory,Area,Total_area,Bedrooms,Bathrooms,Garages,totalGarages,totalRooms,valSales,idtProperty
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,52.0,100.0,2.0,1.0,1.0,1.0,2.0,209000,66849
S,Casas,São Carlos,1,Vila Carmem,São Paulo,RUA RAFAEL ABREU SAMPAIO,Padrão,118.98,187.5,2.0,1.0,2.0,2.0,2.0,340000,66836
S,Casas,São Carlos,1,Jardim Araucária,São Paulo,Rua Jaime Cordeiro,Padrão,98.0,195.0,2.0,1.0,3.0,3.0,2.0,285000,66827
S,Casas,São Carlos,1,Vila Monteiro (Gleba I),São Paulo,Rua São Joaquim,Padrão,123.64,161.0,3.0,2.0,2.0,2.0,4.0,380000,66819
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Av. AVENIDA PEDRO MUSZKAT,Condomínio,152.0,250.0,3.0,2.0,2.0,2.0,4.0,852000,66803
S,Casas,São Carlos,1,Condomínio Residencial Quebec,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Condomínio,174.0,308.0,3.0,3.0,4.0,4.0,6.0,1200000,66792
S,Casas,São Carlos,1,Parque Santa Mônica,São Paulo,Rua São Sebastião,Sobrado,359.12,429.0,4.0,2.0,3.0,3.0,5.0,1100000,66788
SL,Casas,São Carlos,1,Parque Industrial,São Paulo,Rua Rodolfo Luporini,Comercial,323.0,300.0,4.0,5.0,4.0,4.0,8.0,1064001,66778
S,Casas,São Carlos,1,Cidade Jardim,São Paulo,Rua das Orquídeas,Padrão,145.92,180.0,2.0,1.0,2.0,2.0,2.0,320000,66774
S,Casas,São Carlos,1,Núcleo Residencial Silvio Vilari,São Paulo,Rua Vivaldo Lanzoni,Padrão,237.0,250.0,4.0,2.0,2.0,2.0,6.0,585000,66771
S,Casas,São Carlos,1,VILLAGE DAMHA IV,São Paulo,Avenida Brasilino Damha,Padrão,180.0,299.0,3.0,4.0,2.0,2.0,6.0,1150000,66762
S,Casas,São Carlos,1,Jardim Tangará,São Paulo,Rua Ilton Resitano,Padrão,111.0,125.0,2.0,2.0,2.0,2.0,3.0,290000,66756
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua São João Bosco,Padrão,120.0,150.0,2.0,2.0,2.0,2.0,2.0,310000,66753
S,Casas,São Carlos,1,Jardim de Cresci,São Paulo,RUA ROSA CASSIM,Padrão,196.0,307.62,3.0,3.0,2.0,2.0,4.0,650000,66748
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,51.46,101.2,3.0,1.0,2.0,2.0,3.0,150000,66747
S,Casas,São Carlos,1,Jardim Cardinalli,São Paulo,Rua Irmã Maria São Félix,Condomínio,104.0,130.0,3.0,2.0,0.0,0.0,4.0,560000,66732
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Rua Fortunato Dovigo,Padrão,100.0,250.0,3.0,2.0,2.0,2.0,4.0,585000,66731
S,Casas,São Carlos,1,Residencial Eldorado,São Paulo,Rua Miguel Petroni,Condomínio,178.65,312.0,3.0,3.0,2.0,2.0,4.0,936000,66721
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Rua Allan Kardec,Padrão,64.0,191.39,2.0,1.0,2.0,2.0,2.0,373000,66719
S,Casas,São Carlos,1,PRESIDENTE COLLOR,São Paulo,RUA LUIZ MASCARIM,Padrão,127.71,149.94,3.0,2.0,2.0,2.0,3.0,215000,66715
S,Casas,São Carlos,1,Jardim Beatriz,São Paulo,Rua Antônio Martines Carrera,Padrão,177.7,250.0,4.0,4.0,2.0,2.0,5.0,580000,66709
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,Rua Marcus Vinícius de Mello Moraes,Comercial,228.0,150.0,2.0,3.0,1.0,1.0,3.0,480000,66704
S,Casas,São Carlos,1,Parque Belvedere,São Paulo,Rua Maria Broggio Asenha,Área de Lazer,128.46,518.5,1.0,2.0,5.0,5.0,2.0,426000,66699
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,100.0,100.0,2.0,2.0,1.0,1.0,2.0,200000,66691
S,Casas,São Carlos,1,Conjunto Habitacional Dom Constantino Amstalden,São Paulo,Rua Hend Cury,Padrão,100.0,138.0,2.0,2.0,1.0,1.0,3.0,260000,66666
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,RUA LUIS PICON,Padrão,92.23,250.0,2.0,1.0,2.0,2.0,2.0,415000,66664
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,470.0,1000.0,5.0,5.0,6.0,6.0,10.0,2900000,66636
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,48.0,100.0,3.0,1.0,2.0,2.0,3.0,230000,66635
S,Casas,São Carlos,1,Jardim Paraíso,São Paulo,RUA MAESTRO JOÃO SEPPE,Padrão,155.0,300.0,3.0,2.0,2.0,2.0,3.0,1000000,66631
S,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Ray Wesley Herrick,Condomínio,170.0,291.5,3.0,3.0,4.0,4.0,6.0,1150000,66624
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Henrique Gregori,Padrão,125.0,250.0,2.0,1.0,2.0,2.0,2.0,500000,66621
S,Casas,São Carlos,1,Jardim Nova São Carlos,São Paulo,RUA DOMINGOS BIBBO,Padrão,187.0,300.0,4.0,3.0,8.0,8.0,4.0,650000,66620
