indType,jsonPhotos,namCategory,namCity,idtCity,namDistrict,namState,namStreet,namSubCategory,numNumber,prop_char_1,prop_char_2,prop_char_5,prop_char_176,prop_char_12,totalGarages,totalRooms,valLocation,idtProperty,latitude,longitude,totalAccess,flgHighlight,idtExternal,namCondominium,prop_char_95,valCondominium,valMonthIptu,flgReservedLocation,valSales,desTitleSite,urlVideo
L,"[{""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66767/7d8d690ce9d07e55353b64d29e330ee8.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66767/44f0e04f52e202ece5073b6ee697bdec.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66767/b7e9b16a7b325eb9213a39439d29877e.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66767/02c8a23c5c9223ea9dcd93bba17b994a.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66767/1c627422e6a1bd8d5b2d20b7e5f2fb16.jpg"",""flgNotShowSite"":0}]",Casas,São Carlos,1,Parque Industrial,São Paulo,Rua Doutor Alberto Cattani,Kitnet,100,30,30,1,1,0,0,1,556,66767,-21.9891600000000,-47.9029200000000,1,0,,,,,,,,,
L,"[{""idtCondominiumPhotos"":19978,""numOrder"":0,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2204/dc444ecbdc3d9887540b6bbd1f9f35da.jpg"",""flgNotShowSite"":0,""namFile"":""dc444ecbdc3d9887540b6bbd1f9f35da.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":19979,""numOrder"":1,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2204/a478448fc16cb9ece4efa76639b5d9f6.jpg"",""flgNotShowSite"":0,""namFile"":""a478448fc16cb9ece4efa76639b5d9f6.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":19980,""numOrder"":2,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2204/5224b56d102907f710afbec48a1dbd6e.jpg"",""flgNotShowSite"":0,""namFile"":""5224b56d102907f710afbec48a1dbd6e.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":19981,""numOrder"":3,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2204/78769d5d248bf6681029020af471dd5a.jpg"",""flgNotShowSite"":0,""namFile"":""78769d5d248bf6681029020af471dd5a.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":19982,""numOrder"":4,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2204/9249c0b06b650af6f8368df3cfed3c91.jpg"",""flgNotShowSite"":0,""namFile"":""9249c0b06b650af6f8368df3cfed3c91.jpg"",""flgMainPicture"":1}]",Apartamentos,São Carlos,1,Residencial Monsenhor Romeu Tortorelli,São Paulo,Avenida João Stella,Padrão,480,,50,2,1,1,1,2,700,66765,,,1,0,,Residencial Monte Dos Andes,50,250,,,,,
L,"[{""idtCondominiumPhotos"":20525,""numOrder"":0,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/9fa4e446290dc299abdbd1ac5e9b32e2.jpg"",""flgNotShowSite"":0,""namFile"":""9fa4e446290dc299abdbd1ac5e9b32e2.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20526,""numOrder"":1,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/283addeedb53785f193ed4af2ab25b0e.jpg"",""flgNotShowSite"":0,""namFile"":""283addeedb53785f193ed4af2ab25b0e.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20527,""numOrder"":2,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/e7f285f3448180d21d51ed9d094cfd3a.jpg"",""flgNotShowSite"":0,""namFile"":""e7f285f3448180d21d51ed9d094cfd3a.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20528,""numOrder"":3,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/10c734da7f465c2141ccd4c382ee4bd7.jpg"",""flgNotShowSite"":0,""namFile"":""10c734da7f465c2141ccd4c382ee4bd7.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20529,""numOrder"":4,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/0d36f87ef551aad955465b6ff24ed4c7.jpg"",""flgNotShowSite"":0,""namFile"":""0d36f87ef551aad955465b6ff24ed4c7.jpg"",""flgMainPicture"":1}]",Apartamentos,São Carlos,1,Parque Faber Castell,São Paulo,Avenida dos Sanhaços,Padrão,901,,50,2,1,1,1,2,1600,66764,-22.0149800000000,-47.9120300000000,3,0,,MONTE DOS PINHEIROS ,50,285,,,,,
L,"[{""idtCondominiumPhotos"":20525,""numOrder"":0,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/9fa4e446290dc299abdbd1ac5e9b32e2.jpg"",""flgNotShowSite"":0,""namFile"":""9fa4e446290dc299abdbd1ac5e9b32e2.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20526,""numOrder"":1,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/283addeedb53785f193ed4af2ab25b0e.jpg"",""flgNotShowSite"":0,""namFile"":""283addeedb53785f193ed4af2ab25b0e.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20527,""numOrder"":2,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/e7f285f3448180d21d51ed9d094cfd3a.jpg"",""flgNotShowSite"":0,""namFile"":""e7f285f3448180d21d51ed9d094cfd3a.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20528,""numOrder"":3,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/10c734da7f465c2141ccd4c382ee4bd7.jpg"",""flgNotShowSite"":0,""namFile"":""10c734da7f465c2141ccd4c382ee4bd7.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":20529,""numOrder"":4,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2612/0d36f87ef551aad955465b6ff24ed4c7.jpg"",""flgNotShowSite"":0,""namFile"":""0d36f87ef551aad955465b6ff24ed4c7.jpg"",""flgMainPicture"":1}]",Apartamentos,São Carlos,1,Parque Faber Castell,São Paulo,Avenida dos Sanhaços,Padrão,901,,50,2,1,1,1,2,1334,66763,-22.0149800000000,-47.9120300000000,1,0,,MONTE DOS PINHEIROS ,50,285,,,,,
L,"[{""idtCondominiumPhotos"":10947,""numOrder"":0,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/107/3d228fccde74a192fc6e8ccfee0e681c.jpg"",""flgNotShowSite"":0,""namFile"":""3d228fccde74a192fc6e8ccfee0e681c.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":10948,""numOrder"":1,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/107/14b31fc35eb874c7e44f827c805ec30.jpg"",""flgNotShowSite"":0,""namFile"":""14b31fc35eb874c7e44f827c805ec30.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":10949,""numOrder"":2,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/107/4de129116c4442b820350cb5ca8a0e14.jpg"",""flgNotShowSite"":0,""namFile"":""4de129116c4442b820350cb5ca8a0e14.jpg"",""flgMainPicture"":1},{""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66746/348c5c7045cd93ef11c4753328ad8611.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66746/abea6c1f4c3542b38c3a1b77b9bc6fcd.jpg"",""flgNotShowSite"":0}]",Apartamentos,São Carlos,1,Vila Rancho Velho,São Paulo,Rua Theodolina Modena Coca,Padrão,85,,50,2,1,1,1,2,834,66746,-22.0108400000000,-47.8691800000000,25,0,,Residencial Ana Paula ,50,325,,,,,
L,"[{""idtCondominiumPhotos"":4807,""numOrder"":0,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/49/f2d088305efae4bd51275496397ddc9e.jpg"",""flgNotShowSite"":0,""namFile"":""f2d088305efae4bd51275496397ddc9e.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":4808,""numOrder"":1,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/49/e49bb2c6f9cec8cf08d1e3155db270db.jpg"",""flgNotShowSite"":0,""namFile"":""e49bb2c6f9cec8cf08d1e3155db270db.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":4809,""numOrder"":2,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/49/8718847db727e16ee2cb1c87ee997d16.jpg"",""flgNotShowSite"":0,""namFile"":""8718847db727e16ee2cb1c87ee997d16.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":4810,""numOrder"":3,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/49/4faa8d557870d6eb5eb441691cf8b79.jpg"",""flgNotShowSite"":0,""namFile"":""4faa8d557870d6eb5eb441691cf8b79.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":4811,""numOrder"":4,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/49/1ea2eb9433bd270a397657ce9b75db82.jpg"",""flgNotShowSite"":0,""namFile"":""1ea2eb9433bd270a397657ce9b75db82.jpg"",""flgMainPicture"":1}]",Apartamentos,São Carlos,1,Jardim Nova Santa Paula,São Paulo,Rua Américo Jacomino Canhoto,Padrão,223,,50,2,1,1,1,2,860,66725,-21.9953600000000,-47.9005300000000,1,0,,Edifício Sol Nascente,50,410,37.29,,,,
L,"[{""idtCondominiumPhotos"":7293,""numOrder"":0,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/442/24a3388faf5ef02e2404ba65e5886009.jpg"",""flgNotShowSite"":0,""namFile"":""24a3388faf5ef02e2404ba65e5886009.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":7294,""numOrder"":1,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/442/ca06f5138c4f21f774dc786c9fcc8911.jpg"",""flgNotShowSite"":0,""namFile"":""ca06f5138c4f21f774dc786c9fcc8911.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":7295,""numOrder"":2,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/442/712a3edf46c8232ce8cb434105936eca.jpg"",""flgNotShowSite"":0,""namFile"":""712a3edf46c8232ce8cb434105936eca.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":7297,""numOrder"":4,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/442/c8761bb293d4f849d88e3aa13f05957d.jpg"",""flgNotShowSite"":0,""namFile"":""c8761bb293d4f849d88e3aa13f05957d.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":7298,""numOrder"":5,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/442/480dc65f62916a49d4a9306dc18534a6.jpg"",""flgNotShowSite"":0,""namFile"":""480dc65f62916a49d4a9306dc18534a6.jpg"",""flgMainPicture"":1}]",Apartamentos,São Carlos,1,Parque Arnold Schimidt,São Paulo,Rua Luiz Saia,Padrão,220,,50,2,2,1,1,3,1667,66722,-22.0014200000000,-47.9012100000000,6,0,,Edifício Dakota ,50,402,89.68,,,,
L,"[{""idtCondominiumPhotos"":19778,""numOrder"":0,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2445/cde2ee7891644fd334d0481f53584284.jpg"",""flgNotShowSite"":0,""namFile"":""cde2ee7891644fd334d0481f53584284.jpg"",""flgMainPicture"":1},{""idtCondominiumPhotos"":19779,""numOrder"":1,""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/condominio/fotos/2445/9a07c08230127ae3d5d4771fa2ad3be1.jpg"",""flgNotShowSite"":0,""namFile"":""9a07c08230127ae3d5d4771fa2ad3be1.jpg"",""flgMainPicture"":1},{""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66718/733bf7d78ecfe7bb5e91b68fb027ba86.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66718/501178f8a535fdade3e7cb4966a8415b.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66718/48d25831fcea4d3d0dac2b16bded8b0b.jpg"",""flgNotShowSite"":0}]",Apartamentos,São Carlos,1,Vila Prado,São Paulo,Avenida José Pereira Lopes,Padrão,333,,70,2,2,1,1,3,1112,66718,-22.0222689000000,-47.9026411000000,48,1,,Edifício Terrazza Bella Diocesi ,70,280,,,,,
L,"[{""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66705/b91fe856f86cc9eda0ca4902e9fdbdbd.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66705/724fcf52ce07a07993bbbe63bd8406f4.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66705/8ea78c2781dd9aa9c27d9fb2136ad65c.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66705/426cc161e36c94c80d0b10807ca9ce43.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66705/48635c5d8bd077d07478cb5d0e99ffc8.jpg"",""flgNotShowSite"":0}]",Casas,São Carlos,1,Jardim São Carlos,São Paulo,Rua Treze de Maio,Padrão,3263,40,40,1,1,0,0,1,778,66705,-22.0184900000000,-47.8782900000000,38,0,,,,,50,,,,
L,"[{""desPhoto"":""Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66696/2273601b4a56fd119ca7a81d5367df67.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66696/3f174d07ad3d051c57d0f0e5c4d03509.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66696/d92445f4efe8143fbc621caf2a7d50fc.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66696/d7dfa9f35ea0382c79f82bfa58e9b351.jpg"",""flgNotShowSite"":0},{""desPhoto"":"" Foto"",""urlPhoto"":""https://s3.amazonaws.com/msys-imob-roca/imovel/fotos/66696/35e9451b361bf637e7f92700ca62f548.jpg"",""flgNotShowSite"":0}]",Comercial,São Carlos,1,Vila Monteiro (Gleba I),São Paulo,Rua São Joaquim,Salão,277,,220,,2,,,,3000,66696,-22.0241700000000,-47.8886400000000,36,1,,,220,,120,,,,
