indType,Property_category,District,Street_name,Property_subcategory,numNumber,Built_uparea,Area_total,Bedroom,Bathroom,Grages,totalRooms,valLocation,latitude,longitude,totalAccess,flgHighlight,prop_char_95,Property_tax
L,Casas,Parque Industrial,Rua Doutor Alberto Cattani,Kitnet,100,30,30,1,1,0,1,556,-21.98916,-47.90292,1,0,,
L,Apartamentos,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Padrão,480,,50,2,1,1,2,700,,,1,0,50,
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,50,2,1,1,2,1600,-22.01498,-47.91203,3,0,50,
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,50,2,1,1,2,1334,-22.01498,-47.91203,1,0,50,
L,Apartamentos,Vila Rancho Velho,Rua Theodolina Modena Coca,Padrão,85,,50,2,1,1,2,834,-22.01084,-47.86918,25,0,50,
L,Apartamentos,Jardim Nova Santa Paula,Rua Américo Jacomino Canhoto,Padrão,223,,50,2,1,1,2,860,-21.99536,-47.90053,1,0,50,37.29
L,Apartamentos,Parque Arnold Schimidt,Rua Luiz Saia,Padrão,220,,50,2,2,1,3,1667,-22.00142,-47.90121,6,0,50,89.68
L,Apartamentos,Vila Prado,Avenida José Pereira Lopes,Padrão,333,,70,2,2,1,3,1112,-22.0222689,-47.9026411,48,1,70,
L,Casas,Jardim São Carlos,Rua Treze de Maio,Padrão,3263,40,40,1,1,0,1,778,-22.01849,-47.87829,38,0,,50
L,Comercial,Vila Monteiro (Gleba I),Rua São Joaquim,Salão,277,,220,,2,,,3000,-22.02417,-47.88864,36,1,220,120
L,Casas,Jardim Cardinalli,Rua Pastor Cyrus Basset Dawsey,Padrão,172,120,125,3,2,2,4,1778,-22.02291,-47.87302,149,1,,76
L,Casas,Jardim Botafogo 1,Rua Francisco Gregoracci,Padrão,210,100,180,2,1,2,2,1223,-22.02401,-47.91119,128,1,,40
L,Comercial,Vila Brasília,AV. ARARAQUARA,Galpão,1072,,860.44,,4,,,13334,-21.9963976,-47.8773669,24,1,717.85,
L,Casas,Loteamento Habitacional São Carlos 1,Rua João Schiavoni,Sobrado,125,50,50,1,1,1,1,834,-21.99508,-47.91781,65,1,,30
L,Casas,Vila Prado,RUA DOUTOR BERNARDINO DE CAMPOS,Padrão,352,100,100,3,1,2,3,1223,-22.0251,-47.9006,117,1,,
L,Casas,SANTA FELICIA,Rua Antônio Carlos Ferraz de Salles,Comercial,839,200,200,3,5,,4,3556,-21.9954929,-47.9209612,15,1,,300
L,Casas,Jardim Paraíso,RUA CONSELHEIRO JOÃO ALFREDO,Kitnet,250,30,30,1,1,1,1,700,-22.0077,-47.90137,75,1,,15
L,Comercial,SANTA FELICIA,Rua Antônio Carlos Ferraz de Salles,Barracão,839,,100,,2,,,2223,-21.9954929,-47.9209612,27,1,100,150
L,Casas,Centreville,Rua Antônio Rodrigues Cajado,Fundos,1112,100,130,2,1,,2,1000,-22.017959,-47.8836812,27,1,,
L,Casas,SANTA FELICIA,Rua Antônio Carlos Ferraz de Salles,Padrão,839,100,100,3,2,,4,1224,-29.35579,-60.21288,67,1,,150
L,Apartamentos,Jardim Gibertoni,RUA CORONEL CARLOS SIMPLICIO RODRIGUES,Padrão,75,,73.65,3,2,2,4,1200,-22.01937,-47.90758,165,1,73.65,95
L,Casas,Jardim Medeiros,Rua Marcolina Lima Machado,Padrão,240,40,40,1,1,1,1,556,-22.0381798,-47.9162344,82,0,,
L,Comercial,Jardim Bandeirantes,Rua Miguel Petroni,Sala,1455,,8.5,,1,,,667,-22.00177,-47.90452,18,0,8.5,
L,Comercial,Jardim Bandeirantes,Rua Miguel Petroni,Sala,1455,,6,,1,,,450,-22.00177,-47.90452,15,0,6,
L,Apartamentos,Jardim Hikari,Rua José Calijuri,Kitnet,258,,30,1,1,,1,940,-21.99375,-47.9007,14,0,30,
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,50,2,1,1,2,1334,-22.01498,-47.91203,60,1,50,
L,Casas,Jardim Ipanema,AV. OTTO WERNER ROSEL,Padrão,1111,70,150,2,1,1,2,1273,-21.98484,-47.93834,207,1,,29.39
L,Apartamentos,Centro,Rua Padre Teixeira,Padrão,1465,,68,2,2,2,3,2990,-22.01409,-47.89619,0,0,68,104.16
L,Apartamentos,Centro,Rua Padre Teixeira,Padrão,1680,,42,1,1,1,2,1667,-22.01429,-47.89414,53,0,42,48.72
L,Comercial,Jardim Brasil,Rua Jesuíno de Arruda,Salão,2610,,40,,2,1,,4112,-22.01953,-47.87941,38,1,40,155
L,Comercial,SANTA FELICIA,Rua Roberto de Jesus Affonso,Salão,500,,30,,1,0,,834,-22.00006,-47.91547,41,1,30,50
L,Casas,Residencial Samambaia,Rua Guilherme Orlando Sabino,Padrão,631,150,250,3,2,3,4,3290,-21.95363,-47.88613,144,0,,
L,Casas,Jardim São João Batista,Rua Juan Lopes,Padrão,1205,97,250,2,1,2,2,1000,-21.99967,-47.8779,195,0,,50
L,Casas,Centro,Rua José Bonifácio,Sobrado,787,120,150,3,2,2,3,2112,-22.0218317,-47.8937446,69,0,,
L,Casas,Jardim Medeiros,RUA ELEUTÉRIO MALERBA,Sobrado,136,200,200,4,2,2,5,1445,-22.03878,-47.91601,35,0,,35
L,Apartamentos,Jardim Ipanema,Rua Laura Villani Piovesan,Padrão,65,,45,2,1,1,2,778,-21.98694,-47.92543,77,0,45,
L,Casas,RESIDENCIAL ITAMARATI,RUA MAURO TOMAZI,Padrão,545,200,250,3,2,2,4,2800,-21.9993732,-47.8527449,156,0,,110
L,Casas,Vila Boa Vista 1,Rua Martim Luther King,Padrão,1511,120,150,2,2,1,3,1445,-22.0363,-47.90207,195,0,,85
L,Comercial,Jardim São Carlos,AV. COMENDADOR ALFREDO MAFFEI,Sala,1489,,600,,6,,,15000,-22.01709,-47.89791,18,0,600,600
L,Apartamentos,Jardim Paraíso,Rua Conselheiro Soares Brandão,Padrão,1104,,40,1,1,1,1,1112,-22.0069,-47.90074,29,0,40,
L,Comercial,Parque Novo Mundo,Rua José Nunes de Andrade,Galpão,856,,660,,2,6,,14445,-22.06636,-47.88315,20,0,660,190
L,Comercial,Centro,AV. AVENIDA SÃO CARLOS,Salão,2105,,1033,,5,11,,28000,-22.01478,-47.89088,29,0,1033,1256
L,Apartamentos,Cidade Jardim,Alameda das Azaleias,Padrão,801,,50,2,1,1,2,1112,-21.99659,-47.89236,165,0,50,50
SL,Casas,Jardim Beatriz,Rua Batista Laura Ricetti,Padrão,824,178.35,255,3,2,2,4,1889,-22.0362,-47.9105918,222,0,,45
L,Comercial,Centro,AV. AVENIDA SÃO CARLOS,Sala,2205,,60,,2,,,1200,-22.01396,-47.89089,27,0,60,80
L,Comercial,Centro,AV. AVENIDA SÃO CARLOS,Sala,2205,,30,,1,,,600,-22.01396,-47.89089,52,0,30,40
L,Comercial,Centro,AV. AVENIDA SÃO CARLOS,Sala,2205,,30,,1,,,600,-22.01396,-47.89089,36,0,30,40
L,Casas,Azulville I,Rua Visconde da Cunha Bueno,Padrão,154,130,250,2,2,1,2,1445,-22.02782,-47.86806,64,0,,90
L,Comercial,Jardim Jóckei Club A,Rua Rio Amazonas,Galpão,289,,150,,2,,,3500,-21.9845,-47.89988,28,0,150,66
L,Apartamentos,Romeu Santini,Rua Doutor Eufrauzino Moreira,Padrão,32,,50,2,1,1,2,667,-22.02483,-47.91583,70,0,50,
L,Apartamentos,Jardim Lutfalla,RUA JACINTO FAVORETO,Padrão,405,,36,1,1,,1,1556,-22.00606,-47.89415,82,0,36,50
L,Apartamentos,Jardim Gibertoni,Rua Humberto Manelli,Padrão,116,,70,2,2,3,3,1600,-22.0189672,-47.9061769,138,0,70,88
L,Comercial,Centro,Rua Conde do Pinhal,Ponto,3237,,180,,2,7,,4000,-22.01761,-47.87858,87,0,180,217
L,Apartamentos,Centro,Rua Sete de Setembro,Padrão,1257,,30,1,1,,1,1112,-22.0160814,-47.89808112,110,0,30,25
SL,Apartamentos,Jardim Bethânia,RUA ALDO POZZI,Padrão,1129,,50,2,2,1,3,1500,-22.01511,-47.90075,60,0,50,50
L,Casas,Vila Irene,RUA NICODEMO SENAPESCHI,Padrão,141,100,120,2,2,2,2,1223,-22.03095,-47.88458,188,0,,46
L,Apartamentos,Romeu Santini,Rua Joaquim Ninelli,Padrão,11,,45,1,1,1,1,690,-22.02585,-47.91514,115,0,45,
